feature,importance,importance_pct,ticker,horizon
MACD_cross,0.0,0.0,AMZN,1d
RSI_overbought,0.0,0.0,AMZN,1d
RSI_oversold,0.0,0.0,AMZN,1d
MACD,0.0,0.0,AMZN,1d
MACD_signal,0.0,0.0,AMZN,1d
volatility_20,0.0,0.0,AMZN,1d
OBV_slope,0.0,0.0,AMZN,1d
volume_spike,0.0,0.0,AMZN,1d
volume_std_20,0.0,0.0,AMZN,1d
volume_zscore,0.0,0.0,AMZN,1d
volume_acceleration,0.0,0.0,AMZN,1d
volume_ma_10,0.0,0.0,AMZN,1d
CMF,0.0,0.0,AMZN,1d
AD,0.0,0.0,AMZN,1d
momentum_5,0.0,0.0,AMZN,1d
momentum_1,0.0,0.0,AMZN,1d
volume_price_trend,0.0,0.0,AMZN,1d
momentum_20,0.0,0.0,AMZN,1d
oc_spread,0.0,0.0,AMZN,1d
hl_spread,0.0,0.0,AMZN,1d
AD_slope,0.0,0.0,AMZN,1d
VWAP_approx,0.0,0.0,AMZN,1d
position_in_range_5,0.0,0.0,AMZN,1d
position_in_range_10,0.0,0.0,AMZN,1d
mfi_rsi_divergence,0.0,0.0,AMZN,1d
volume_momentum,0.0,0.0,AMZN,1d
obv_price_divergence,0.0,0.0,AMZN,1d
day_sin,0.0,0.0,AMZN,1d
day_cos,0.0,0.0,AMZN,1d
month_cos,0.0,0.0,AMZN,1d
sentiment_compound,0.0,0.0,AMZN,1d
sentiment_positive,0.0,0.0,AMZN,1d
sentiment_negative,0.0,0.0,AMZN,1d
news_volume,0.0,0.0,AMZN,1d
sentiment_change_1d,0.0,0.0,AMZN,1d
sentiment_trend,0.0,0.0,AMZN,1d
sentiment_rsi,0.0,0.0,AMZN,1d
sentiment_momentum,0.0,0.0,AMZN,1d
volume_ratio,19.441669464111328,16.031829169437216,BB,1d
trend_momentum,12.855799674987793,10.601043526965015,BB,1d
momentum_10,10.136899948120117,8.359006852571603,BB,1d
volume_ma_10,9.229510307312012,7.610762688745755,BB,1d
BB_lower,8.47251033782959,6.986531615667683,BB,1d
mfi_rsi_divergence,7.963260173797607,6.566597944367516,BB,1d
STOCH_D,7.615499973297119,6.279830795247697,BB,1d
volatility_20,7.433720111846924,6.129932984743659,BB,1d
price_to_sma_50,5.630209922790527,4.6427372832806215,BB,1d
price_to_sma_10,5.46845006942749,4.509348206772732,BB,1d
SMA_20,5.11653995513916,4.219158989962821,BB,1d
price_to_sma_5,4.89132022857666,4.033440156068306,BB,1d
MFI,4.67710018157959,3.8567917872404376,BB,1d
position_in_range_10,4.323530197143555,3.565233821995595,BB,1d
SMA_10,4.028379917144775,3.321849431730822,BB,1d
STOCH_K,3.984790086746216,3.2859047452025147,BB,1d
log_returns,0.0,0.0,BB,1d
returns,0.0,0.0,BB,1d
volatility_10,0.0,0.0,BB,1d
volatility_5,0.0,0.0,BB,1d
sma_cross_10_50,0.0,0.0,BB,1d
sma_cross_5_20,0.0,0.0,BB,1d
EMA_50,0.0,0.0,BB,1d
SMA_50,0.0,0.0,BB,1d
price_to_sma_20,0.0,0.0,BB,1d
EMA_20,0.0,0.0,BB,1d
EMA_5,0.0,0.0,BB,1d
EMA_10,0.0,0.0,BB,1d
