horizon,feature,importance_mean,importance_pct_mean,stock_count
21d,trend_momentum,3.3023916304111482,0.09648615709774037,35
21d,BB_position,3.178590295995985,0.31292866302901384,35
21d,hl_spread,2.2774765619209836,0.02307686432042562,35
21d,price_to_sma_5,2.2643851041793823,0.05544587435681874,35
21d,oc_spread,2.1473025596567563,0.040692736809071664,35
21d,MACD_cross,2.049749115535191,0.03245410164065502,35
21d,returns,1.2967046422617776,0.014506774163108133,35
21d,ADX_strong_trend,1.1549374171665736,0.021054106523161434,35
21d,position_in_range_5,1.0359228696141924,0.012905023823428239,35
21d,sma_cross_10_50,0.7336314065115792,0.02397121034237265,35
21d,log_returns,0.22777857099260604,0.0013816158468736516,35
21d,day_sin,0.16814914430890765,0.0010199270344134902,35
21d,sma_cross_5_20,0.0882302829197475,0.0005351704355895088,35
