Ticker,Stock,Sector,Current_Price,Volatility_Daily,Volatility_Annual,ATR,ATR_Pct,Max_Drawdown,Price_Change_30d,Beta,Risk_Score
UPS,United Parcel Service,Industrials,94.8000030517578,0.017102013768740345,0.2714860521029367,2.260000501360209,2.383966696843164,-0.5791771508215922,-0.18588934602002194,1.0,32.74099423218686
AVGO,Broadcom,Semiconductors,300.67999267578125,0.02448324904864875,0.38865952961749994,11.10692711390926,3.693936206086613,-0.48299970701242045,-0.09016301779756941,1.0,37.39260731436147
PLUG,Plug Power,Meme/Speculative,2.180000066757202,0.05576112586644735,0.8851804312055445,0.15785712855202824,7.241152464130159,-0.9904345451604274,0.19780219996152537,1.0,78.02943249810869
MMM,3M Company,Industrials,143.0399932861328,0.016601910406021488,0.2635471573374493,4.229284014020648,2.9567143543977368,-0.5909733357032011,-0.17712712547081877,1.0,34.75198337756159
HON,Honeywell,Industrials,223.1199951171875,0.014648684957350189,0.23254066458768846,5.312858581542975,2.38116650134944,-0.43010347438225716,-0.06505554304833217,1.0,27.172921296693517
CAT,Caterpillar,Industrials,695.4000244140625,0.01916092478548511,0.30417025123444347,21.315708705357142,3.0652441698312503,-0.433588945061551,-0.08293654859699784,1.0,31.505288963599536
MARA,Marathon Digital,Meme/Speculative,8.020000457763672,0.09087373077103197,1.4425757539727309,0.7342854908534459,9.1556789144897,-0.9919354835027029,0.10620695969154093,1.0,99.80332935325104
TSM,Taiwan Semiconductor,Semiconductors,326.739990234375,0.02127266561469044,0.3376930976394352,11.323805066776297,3.465693029694216,-0.5646657122758572,-0.10985958772225624,1.0,37.685233613520566
RTX,Raytheon Technologies,Defence,189.7100067138672,0.017324191495056557,0.2750130141670795,4.590711321149556,2.4198572340327633,-0.5198197286516969,-0.05369335832799316,1.0,31.172960060846847
PEP,PepsiCo,Consumer Staples,153.0399932861328,0.012299339152180407,0.19524595612265616,3.0035716465541293,1.9626057098280647,-0.30322676784228964,-0.07651150411823893,1.0,20.95523670880582
PFE,Pfizer,Pharma,27.040000915527344,0.015044110060012833,0.2388178434904737,0.6464286531720853,2.3906384293089378,-0.5896199444175453,-0.015653382183307918,1.0,32.17078557445917
BB,BlackBerry,Meme/Speculative,3.1600000858306885,0.03699258465355811,0.5872390760809154,0.1142856904438564,3.616635675306111,-0.9159362604371292,-0.07331378114587317,1.0,55.65342227193641
JPM,JPMorgan Chase,Financials,282.8399963378906,0.017232925546208023,0.2735642121441501,6.379289899553576,2.255441232552079,-0.4362650730595539,-0.06542432379124619,1.0,28.083600418793033
XOM,Exxon Mobil,Energy,170.99000549316406,0.017557308616681182,0.27871363374809927,4.127855573381696,2.4140917251135607,-0.6134247389771572,0.1404656429412654,1.0,34.069101696961305
LMT,Lockheed Martin,Defence,615.8400268554688,0.014807436284882477,0.23506076378539925,15.127859933035714,2.4564593519976032,-0.36674305859515066,-0.02877869095309593,1.0,25.585803956831654
GME,GameStop,Meme/Speculative,22.100000381469727,0.07416969311320239,1.1774073767730813,0.708571161542621,3.2062042955290604,-0.8925408621113466,-0.060374151728607606,1.0,69.96994354208373
